Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Sudan,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1,1,1,1,2,2,2,2,2,3,2,1,1,1,1,2,2,1
Sudan,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,6,6,7,9,14,18,25,38,34,46,36,29,26,21,29,49,39,35
Sudan,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,12,13,14,19,22,27,41,64,70,61,70,87,69,98,82,106,124,148
Sudan,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,11,12,13,18,21,25,39,60,67,58,67,83,65,93,77,100,117,140
Sudan,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,29,29,29,29,29,29,29,29,29,29,29,29,38,38,38,38,79,74
Sudan,General government expenditure ,Million NCU,"3,499","4,011","5,034","6,991","11,347","16,927","18,502","23,468","26,712","25,172","29,669","38,120","37,211","48,124","59,535","62,668","73,132","114,120"
Syria,Current Health Expenditure (CHE) per Capita in US$,,54,58,64,61,62,64,66,76,88,92,94,82,70,,,,,
Syria,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,4,5,5,4,4,4,4,3,4,3,3,4,,,,,
Syria,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,98,99,99,99,99,99,99,,,,,
Syria,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,64,58,54,52,52,49,51,52,53,54,54,53,54,,,,,
Syria,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2,2,2,2,2,2,2,2,2,2,1,2,2,,,,,
Syria,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,19,24,29,29,29,32,31,36,41,41,42,37,32,,,,,
Syria,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,35,34,35,32,32,32,34,40,47,50,51,44,38,,,,,
Syria,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,35,34,35,32,32,32,34,40,47,50,51,44,38,,,,,
Syria,General government expenditure ,Million NCU,"259,197","282,736","318,369","350,609","396,904","424,456","454,638","519,435","561,327","674,079","799,504","995,172","933,521",,,,,
Tunisia,Current Health Expenditure (CHE) per Capita in US$,,112,115,126,151,170,172,181,205,233,234,244,274,273,288,291,268,257,251
Tunisia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7
Tunisia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,100,99,99,99,99,99,100,100,100,100,100,100
Tunisia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,39,39,40,41,42,42,43,43,43,43,42,42,41,39,38,40,40,39
Tunisia,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4
Tunisia,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,59,60,65,78,87,88,95,110,127,129,136,154,156,170,169,153,145,143
Tunisia,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,53,55,61,73,83,85,86,94,105,103,105,116,117,117,122,115,111,106
Tunisia,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,43,45,51,62,70,73,77,88,100,100,103,114,112,112,111,106,102,98
Tunisia,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,General government expenditure ,Million NCU,"7,423","7,988","8,326","8,710","9,378","10,119","10,968","12,197","13,724","15,164","15,873","18,893","20,949","24,366","24,090","24,690","25,930","29,303"
United Arab Emirates,Current Health Expenditure (CHE) per Capita in US$,,782,772,851,879,890,915,985,"1,095","1,340","1,339","1,359","1,484","1,442","1,556","1,613","1,402","1,311","1,357"
United Arab Emirates,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,2,2,3,3,2,2,2,3,3,4,4,4,3,4,4,4,3,3
United Arab Emirates,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
United Arab Emirates,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,22,15,28,27,30,30,30,29,25,16,18,17,17,17,18,18,19,19
United Arab Emirates,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2,2,2,2,1,1,1,2,2,3,3,3,2,3,3,3,2,2
United Arab Emirates,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,538,594,521,539,508,520,565,642,856,987,963,"1,075","1,046","1,120","1,145",999,939,977
United Arab Emirates,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,244,177,330,341,382,395,421,452,484,353,396,409,396,436,468,403,372,380
United Arab Emirates,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,173,116,239,241,271,276,293,316,337,216,244,251,241,267,287,249,251,256
United Arab Emirates,General government expenditure ,Million NCU,"82,407","95,720","86,035","91,561","96,131","104,431","127,475","167,224","254,308","325,875","343,013","401,430","400,893","434,489","490,458","425,612","404,946","427,319"
Yemen,Current Health Expenditure (CHE) per Capita in US$,,25,26,27,35,38,42,50,58,69,65,68,64,74,78,80,72,,
Yemen,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,5,6,6,5,6,6,6,6,5,5,5,5,5,4,,
Yemen,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,97,97,97,98,98,98,97,97,97,97,98,96,96,95,94,92,,
Yemen,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,43,45,47,54,60,65,66,69,69,74,74,72,72,75,76,81,,
Yemen,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,,
Yemen,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,13,13,13,15,14,13,15,16,19,14,15,15,18,15,13,7,,
Yemen,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,12,12,13,20,24,28,33,41,48,49,51,47,54,59,62,59,,
Yemen,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,11,12,13,19,23,27,33,40,48,49,50,47,53,58,61,58,,
Yemen,General government expenditure ,Million NCU,"493,826","506,761","578,104","763,054","875,742","1,179,740","1,405,080","1,738,510","2,217,370","1,795,110","2,049,860","2,087,880","2,747,700","2,674,690","2,580,600","1,903,690",,
Albania,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
Albania,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,30,34,37,47,71,70,75,94,177,166,181,188,171,189,200,172,178,190
Albania,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,General government expenditure ,Million NCU,"169,596","184,163","192,517","201,152","222,439","232,339","254,762","282,987","342,860","373,832","364,290","376,183","376,241","394,117","442,717","435,698","429,073","451,989"
Andorra,Current Health Expenditure (CHE) per Capita in US$,,"2,051","2,081","2,256","2,774","3,161","3,536","3,690","4,095","4,202","3,912","3,755","4,014","3,857","4,108","4,346","3,695","3,844","4,041"
Andorra,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,9,9,9,8,8,9,8,8,9,9,9,10,10,10,10,10,10,10
Andorra,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Andorra,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,48,47,48,51,53,50,51,51,48,47,45,44,44,43,43,42,42,42
Andorra,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,4,4,4,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5
Andorra,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,852,877,932,"1,046","1,120","1,358","1,398","1,562","1,720","1,687","1,674","1,840","1,792","1,939","2,077","1,786","1,884","1,981"
Andorra,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,"1,198","1,204","1,325","1,728","2,041","2,178","2,292","2,533","2,482","2,225","2,081","2,174","2,065","2,169","2,270","1,909","1,960","2,060"
Andorra,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,982,987,"1,086","1,417","1,673","1,786","1,879","2,076","2,034","1,823","1,706","1,782","1,693","1,778","1,860","1,565","1,606","1,688"
Andorra,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,General government expenditure ,Million NCU,466,500,551,636,707,783,822,862,901,940,980,958,922,878,829,824,939,965
Armenia,Current Health Expenditure (CHE) per Capita in US$,,26,32,60,67,72,96,126,173,266,253,297,331,337,397,407,366,359,408
Armenia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,5,8,7,6,6,6,5,7,8,9,9,9,10,10,10,10,10
Armenia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,87,82,92,95,95,88,88,88,94,95,96,97,97,98,98,99,98,99
Armenia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,62,51,75,76,72,63,61,58,71,74,78,78,79,83,82,82,81,84
Armenia,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1
Armenia,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,6,9,9,11,15,24,34,51,60,54,54,59,58,53,60,58,59,54
Armenia,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,17,17,46,52,53,61,77,101,191,187,232,261,268,336,340,304,293,348
Armenia,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,16,16,45,51,52,61,77,100,190,186,231,259,265,329,335,299,289,344
Armenia,General government expenditure ,Million NCU,"254,426","278,068","299,801","364,617","393,452","445,685","531,250","706,059","793,430","897,051","906,591","943,140","956,318","1,084,090","1,158,420","1,328,030","1,370,590","1,448,250"
Austria,Current Health Expenditure (CHE) per Capita in US$,,"2,263","2,281","2,486","3,084","3,588","3,709","3,880","4,473","5,037","4,909","4,796","5,161","4,966","5,234","5,386","4,611","4,719","4,940"
Austria,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Austria,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,18,18,19,19,19,19,19,19,18,18,19,19,19,19,19,19,19,19
Austria,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8
Austria,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,"1,679","1,679","1,826","2,256","2,585","2,695","2,826","3,256","3,717","3,576","3,472","3,752","3,619","3,777","3,906","3,341","3,408","3,576"
Austria,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,585,601,660,828,"1,003","1,014","1,053","1,217","1,320","1,333","1,324","1,410","1,347","1,457","1,480","1,270","1,311","1,364"
Austria,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,403,421,463,583,693,711,730,841,919,886,892,967,927,"1,003","1,029",880,911,949
Austria,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,9,9,9,9,9,8,7,7,7,10,10,9,9,9,9,9,9,9
Austria,General government expenditure ,Million NCU,"109,010","113,252","115,758","118,878","130,153","129,973","134,930","139,842","146,511","155,961","156,351","157,846","163,192","167,292","174,672","176,032","179,085","181,897"
Azerbaijan,Current Health Expenditure (CHE) per Capita in US$,,25,26,28,52,74,115,140,177,224,258,279,325,369,399,433,371,259,276
Azerbaijan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,4,4,6,7,7,6,5,4,5,5,5,5,5,5,7,7,7
Azerbaijan,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,98,99,99,99,99,100,99,99,99,99,99,99,99,100,99,99,100,100
Azerbaijan,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,76,77,79,85,87,87,84,79,77,77,77,78,76,78,78,79,82,84
Azerbaijan,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,6,6,6,7,9,14,21,34,48,56,59,68,84,84,89,72,45,42
Azerbaijan,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,19,20,22,44,65,101,118,141,175,201,218,254,281,313,341,297,213,233
Azerbaijan,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,19,20,22,44,64,100,118,140,174,199,216,252,279,311,338,294,212,231
Azerbaijan,General government expenditure ,Million NCU,861,892,"1,403","1,548","2,066","2,817","4,743","7,393","12,619","12,285","13,571","17,570","20,056","21,981","21,466","21,034","21,377","25,043"
Belarus,Current Health Expenditure (CHE) per Capita in US$,,57,74,87,109,142,197,222,279,350,289,342,318,364,454,448,361,298,342
Belarus,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,6,6,6,6,6,6,6,5,5,6,5,5,6,5,6,6,6
Belarus,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100
Belarus,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,16,21,23,20,19,22,24,26,30,31,29,34,31,34,35,36,27,28
Belarus,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,4,4,4,5,5,5,4,4,4,3,4,3,3,4,3,4,4,4
Belarus,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,45,55,63,83,109,147,159,196,230,187,233,201,239,284,280,219,211,240
Belarus,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,12,19,24,26,33,50,63,83,119,102,108,116,123,168,166,140,85,102
Belarus,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,9,15,20,22,27,43,54,72,104,89,100,107,112,153,156,131,79,94
Belarus,General government expenditure ,Million NCU,324,753,"1,183","1,646","2,275","3,027","3,869","4,940","8,052","7,347","7,555","12,380","21,298","27,373","31,294","37,555","38,628","41,286"
Belgium,Current Health Expenditure (CHE) per Capita in US$,,"1,845","1,878","2,075","2,805","3,255","3,340","3,474","3,989","4,540","4,567","4,450","4,856","4,615","4,850","4,944","4,171","4,279","4,507"
Belgium,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10
Belgium,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belgium,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,20,20,21,21,19,18,19,19,18,18,18,18,18,18,17,18,18,18
Belgium,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8
Belgium,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,"1,375","1,415","1,530","2,082","2,480","2,564","2,642","3,009","3,501","3,551","3,459","3,766","3,604","3,764","3,859","3,236","3,299","3,480"
Belgium,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,470,463,545,722,775,776,833,980,"1,038","1,016",991,"1,090","1,010","1,086","1,085",935,980,"1,027"
Belgium,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,373,368,433,578,608,599,648,766,837,830,809,883,818,875,865,732,764,795
Belgium,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,31,31,31,28,36,39,40,40,40,39,42,43,42,43,43,35,35,30
Belgium,General government expenditure ,Million NCU,"126,664","130,736","136,175","143,338","146,168","160,811","158,271","166,320","178,027","188,866","194,750","206,680","216,479","219,034","221,144","220,889","225,423","228,945"
Bosnia and Herzegovina,Current Health Expenditure (CHE) per Capita in US$,,113,112,127,180,243,262,302,387,482,424,416,464,448,478,492,428,444,460
Bosnia and Herzegovina,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8,7,7,8,9,9,9,10,10,9,9,9,9,9,9,9,9,9
Bosnia and Herzegovina,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,93,98,98,99,100,100,100,100,100,99,98,98,98,99,100,100,100,100
Bosnia and Herzegovina,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,40,39,36,30,43,45,45,44,44,31,30,29,29,29,29,29,29,29
Bosnia and Herzegovina,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,4,4,4,5,5,5,5,5,5,6,6,6,7,7,7,7,7,6
Bosnia and Herzegovina,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,60,67,79,123,139,143,165,214,268,288,283,317,307,331,346,303,315,325
Bosnia and Herzegovina,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,45,43,46,55,104,118,136,171,212,131,127,138,132,140,144,125,129,136
Bosnia and Herzegovina,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,45,43,46,55,104,118,136,171,212,130,125,137,131,138,143,123,127,134
Bosnia and Herzegovina,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12
Bosnia and Herzegovina,General government expenditure ,Million NCU,"6,638","6,365","6,632","6,962","7,296","7,861","8,871","10,193","12,347","12,145","12,545","12,167","12,291","12,046","12,634","12,418","12,617","12,764"
Bulgaria,Current Health Expenditure (CHE) per Capita in US$,,94,120,148,196,233,268,294,361,456,459,485,556,559,600,666,572,612,664
Bulgaria,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,7,7,7,7,7,7,6,6,7,7,7,8,8,8,8,8,8
Bulgaria,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bulgaria,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,40,44,40,38,39,39,43,43,43,44,43,44,48,47,46,48,48,47
Bulgaria,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4
Bulgaria,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,56,67,88,119,139,159,164,201,252,247,268,301,284,309,352,291,310,344
Bulgaria,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,38,53,60,77,95,108,130,160,203,212,217,255,275,291,314,281,303,320
Bulgaria,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,38,52,59,75,91,104,125,154,194,204,209,247,267,283,305,273,294,309
Bulgaria,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,37,37,37,37,37,37,37,37,43,33,44,36,36,33,40,33,33,33
Bulgaria,General government expenditure ,Million NCU,"11,471","12,590","13,324","14,132","15,583","17,277","18,045","23,934","27,009","28,742","27,045","27,320","28,267","30,859","36,176","35,857","33,035","35,400"
Croatia,Current Health Expenditure (CHE) per Capita in US$,,371,388,386,512,635,727,816,"1,041","1,259","1,188","1,126","1,132","1,030",890,909,796,841,902
Croatia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8,7,6,6,7,7,7,7,8,8,8,8,8,7,7,7,7,7
Croatia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Croatia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,14,14,19,17,18,13,13,12,15,14,14,12,11,9,11,11,11,11
Croatia,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,7,6,5,5,5,6,6,6,6,7,7,6,6,6,6,6,6,6
Croatia,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,315,319,305,417,507,618,691,900,"1,055",984,939,928,851,757,764,661,696,747
Croatia,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,56,69,81,96,128,109,125,141,204,204,187,204,179,133,145,134,145,155
Croatia,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,51,56,72,85,115,97,109,129,183,163,157,136,118,79,103,87,92,99
Croatia,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,6,6,6,6,6,6,6,6,10,15,15,12,15,26,20,13,15,14
Croatia,General government expenditure ,Million NCU,"80,397","89,047","106,708","115,955","122,317","126,296","136,663","146,594","157,517","160,010","157,850","161,729","158,110","158,094","159,419","164,189","166,187","165,713"
Cyprus,Current Health Expenditure (CHE) per Capita in US$,,751,782,890,"1,145","1,287","1,366","1,474","1,694","2,155","2,105","1,959","2,153","1,943","1,920","1,846","1,582","1,637","1,732"
Cyprus,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,6,6,5,5,5,5,6,6,6,7,7,7,7,7,7,7
Cyprus,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,99,100,99,99,99,99,99,99,100,99,99,99,99,99,99,99,100,100
Cyprus,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,56,55,53,48,50,50,48,49,51,50,41,43,44,43,45,44,45,45
Cyprus,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Cyprus,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,308,327,395,503,531,567,631,731,897,895,936,"1,002",872,873,797,666,689,734
Cyprus,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,438,451,490,635,749,792,834,952,"1,248","1,198","1,005","1,131","1,052","1,025","1,028",897,944,990
Cyprus,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,420,432,470,546,642,681,712,827,"1,108","1,051",802,922,856,827,826,701,741,773
Cyprus,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,,,,20,10,26,24,26,19,21,25,20,22,20,25,23,19,30
Cyprus,General government expenditure ,Million NCU,"3,648","4,029","4,389","5,205","5,340","5,820","6,192","6,585","7,300","7,862","8,115","8,355","8,167","7,595","8,592","7,213","7,027","7,344"
Czech Republic,Current Health Expenditure (CHE) per Capita in US$,,343,389,498,641,746,853,942,"1,110","1,449","1,442","1,374","1,517","1,387","1,555","1,513","1,284","1,322","1,476"
Czech Republic,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,6,6,7,6,6,6,6,6,7,7,7,7,8,8,7,7,7
Czech Republic,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Czech Republic,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,10,11,10,10,11,11,12,14,16,15,15,15,15,14,14,15,15,15
Czech Republic,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,5,5,5,6,6,5,5,5,5,6,6,6,6,7,6,6,6,6
Czech Republic,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,304,340,438,560,654,727,806,930,"1,174","1,195","1,142","1,269","1,159","1,297","1,249","1,056","1,082","1,207"
Czech Republic,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,39,49,59,80,93,126,137,180,275,247,232,247,228,258,264,228,239,269
Czech Republic,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,35,41,50,66,80,95,110,151,234,217,210,228,212,211,213,190,199,219
Czech Republic,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,25,25,25,25,23,23,25,25,24,23,24,24,24,23,24,24,23,23
Czech Republic,General government expenditure ,Million NCU,"974,710","1,109,604","1,201,719","1,386,785","1,303,221","1,380,188","1,452,772","1,550,421","1,635,279","1,737,233","1,724,241","1,735,916","1,805,836","1,745,908","1,830,514","1,916,390","1,882,525","1,965,604"
Denmark,Current Health Expenditure (CHE) per Capita in US$,,"2,496","2,603","2,896","3,607","4,195","4,443","4,779","5,468","6,138","6,222","6,012","6,281","6,004","6,237","6,381","5,469","5,566","5,800"
Denmark,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8,8,9,9,9,9,9,9,10,11,10,10,10,10,10,10,10,10
Denmark,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Denmark,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,15,15,15,15,15,15,15,15,14,14,14,15,14,14,14,14,14,14
Denmark,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,7,7,7,7,8,8,8,8,8,9,9,8,9,9,9,9,9,8
Denmark,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,"2,074","2,171","2,427","3,027","3,505","3,721","4,008","4,577","5,157","5,255","5,042","5,252","5,042","5,255","5,372","4,604","4,682","4,874"
Denmark,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,422,432,469,580,690,722,771,891,981,967,969,"1,029",962,982,"1,009",865,884,927
Denmark,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,383,393,427,525,624,653,694,796,867,851,865,914,850,861,879,748,763,797
Denmark,General government expenditure ,Million NCU,"699,107","724,679","750,466","770,664","798,141","812,682","838,266","862,318","908,135","973,636","1,026,310","1,042,167","1,098,247","1,077,153","1,093,954","1,110,377","1,106,069","1,114,250"
Estonia,Current Health Expenditure (CHE) per Capita in US$,,210,215,250,349,455,525,601,833,"1,039",963,926,"1,015","1,013","1,144","1,237","1,112","1,185","1,300"
Estonia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,5,5,5,5,5,5,6,7,6,6,6,6,6,6,7,6
Estonia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,99,100,99,99,100,100,98,99,100,100,100,100,100,100
Estonia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,20,19,21,21,22,23,23,23,21,20,22,22,22,23,23,23,23,24
Estonia,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,4,4,4,4,4,4,4,4,4,5,5,4,4,5,5,5,5,5
Estonia,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,159,168,191,265,336,388,449,625,792,743,687,761,771,863,933,838,894,971
Estonia,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,51,47,60,83,116,134,148,203,242,216,222,239,238,280,302,272,289,329
Estonia,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,43,41,51,72,102,119,139,189,215,196,203,219,218,259,280,253,269,308
Estonia,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,4,2,3,7,7,7,7,7,7,7,7,7,5,5,4,5,4,5
Estonia,General government expenditure ,Million NCU,"2,245","2,443","2,807","3,064","3,333","3,827","4,539","5,538","6,566","6,515","5,962","6,238","7,049","7,280","7,592","8,185","8,557","9,274"
Finland,Current Health Expenditure (CHE) per Capita in US$,,"1,656","1,738","1,972","2,510","2,927","3,111","3,286","3,775","4,315","4,180","4,100","4,549","4,411","4,307","4,740","4,122","4,095","4,206"
Finland,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,10,9,9
